Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
5 Ghantey Mien 5 Crore,(2012),111,['Thriller'],5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,(1974),134,"['Action', ' Comedy']",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
50 Lakh,(2007),135,"['Comedy', ' Thriller']",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
5ters: Castle of Dark Master,(2011),110,"['Action', ' Adventure', ' Fantasy']",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan
6-5=2,(2014),104,['Horror'],4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,(2007),92,['Drama'],6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
7 1/2 Phere: More Than a Wedding,(2005),136,"['Comedy', ' Drama']",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,(1988),126,['Action'],5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Days,(1995),135,"['Action', ' Drama']",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
7 Hours to Go,(2016),115,"['Crime', ' Thriller']",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,(2006),100,['Documentary'],6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Saal Baad,(1987),127,"['Drama', ' Horror', ' Musical']",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,(2019),120,['Thriller'],5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,(2019),130,"['Action', ' Biography', ' Drama']",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
8119 Miles,(2021),115,"['Adventure', ' Drama', ' Mystery']",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
88 Antop Hill,(2003),119,"['Mystery', ' Thriller']",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,(2017),124,['Action'],5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
99.9 FM,(2005),90,"['Crime', ' Drama']",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Billion Colour Story,(2016),105,['Drama'],8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Daughter's Tale PANKH,(2017),145,['Drama'],6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Film by Aravind,(2005),150,"['Horror', ' Mystery']",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,(2010),103,"['Drama', ' Horror', ' Romance']",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Game Called Relationship,(2020),109,"['Comedy', ' Romance']",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gift of Love: Sifar,(2019),95,"['Drama', ' Romance']",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Journey of Samyak Buddha,(2013),127,['Drama'],7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A New Love Ishtory,(2013),140,['Romance'],6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Scandall,(2016),112,['Thriller'],3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Strange Love Story,(2011),135,['Drama'],3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,(2005),143,"['Drama', ' Romance']",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Thin Line,(2019),104,['Drama'],7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
AA BB KK,(2018),121,['Drama'],8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Dekhen Zara,(2009),117,"['Action', ' Sci-Fi', ' Thriller']",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,(1973),148,"['Action', ' Drama', ' Romance']",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,(1994),158,"['Mystery', ' Romance']",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,(2017),123,['Action'],2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,(2016),120,['Drama'],6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,(1999),135,['Action'],4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,(2004),144,['Fantasy'],2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,(1968),170,"['Comedy', ' Crime', ' Drama']",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabshar,(1953),135,"['Drama', ' Romance']",5.0,5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadamkhor,(1986),135,['Action'],5.5,6.0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,(2018),72,['Horror'],7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadat Se Majboor,(1982),105,"['Action', ' Crime', ' Drama']",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,(1977),132,['Action'],5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,(2019),107,['Drama'],7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadharshila,(1982),154,['Drama'],6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhi Bhagavan,(2013),157,"['Action', ' Crime', ' Thriller']",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
Aadhi Raat,(1950),115,"['Drama', ' Romance']",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadmi,(1968),175,"['Drama', ' Romance']",6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi,(1993),153,"['Action', ' Crime', ' Drama']",6.5,97.0,Arshad Khan,Ajit,Vikas Anand,Arjun
Aadmi Aur Apsara,(1991),142,['Fantasy'],6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Insaan,(1969),168,"['Drama', ' Romance', ' Thriller']",6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,(1993),158,"['Drama', ' Romance']",5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,(2009),78,['Drama'],7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,(1977),138,"['Drama', ' Family']",5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
Aadupuliyattam,(2016),145,['Horror'],4.2,266.0,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Aafat,(1977),148,"['Crime', ' Drama']",5.3,17.0,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
Aag,(1948),138,"['Musical', ' Romance']",7.4,357.0,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Aag,(1967),135,"['Action', ' Drama']",6.2,29.0,Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev
Aag,(1994),139,"['Action', ' Comedy', ' Drama']",4.6,227.0,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
Aag Andhi Aur Toofan,(1994),135,"['Action', ' Thriller']",3.1,11.0,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
Aag Aur Chingari,(1994),133,['Action'],4.1,13.0,Kanti Shah,Alpana,Aparajita,Asrani
Aag Aur Daag,(1970),135,"['Action', ' Comedy', ' Drama']",3.7,14.0,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
Aag Aur Shola,(1986),135,"['Action', ' Drama', ' Romance']",4.1,42.0,K. Bapaiah,Jeetendra,Sridevi,Mandakini
Aag Hi Aag,(1987),170,['Action'],5.3,93.0,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
Aag Ka Dariya,(1990),135,['Action'],4.2,22.0,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
Aag Ka Gola,(1990),180,"['Action', ' Drama']",4.8,101.0,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
Aag Ka Toofaan,(1993),137,['Action'],4.8,21.0,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
Aag Ke Sholay,(1988),138,"['Action', ' Thriller']",3.4,7.0,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aag Laga Do Sawan Ko,(1991),135,"['Drama', ' Romance']",5.7,7.0,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
Aag Se Khelenge,(1989),151,['Action'],5.0,52.0,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
Aagaah: The Warning,(2011),135,"['Drama', ' Horror', ' Thriller']",3.6,23.0,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
Aage Badho,(1947),135,['Drama'],6.0,6.0,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
Aage Ki Soch,(1988),135,['Comedy'],4.8,30.0,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
Aage Maut Peeche Maut,(2001),78,['Horror'],3.1,7.0,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aagey Se Right,(2009),117,"['Comedy', ' Crime', ' Drama']",5.0,381.0,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Aaghaaz,(2000),153,"['Action', ' Crime', ' Drama']",4.2,274.0,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
Aagman,(1982),135,['Drama'],4.8,8.0,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
Aah,(1953),150,"['Drama', ' Musical', ' Romance']",7.2,275.0,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
Aahat - Ek Ajeeb Kahani,(1971),135,['Thriller'],6.4,10.0,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
Aahuti,(1978),135,"['Action', ' Drama']",6.0,25.0,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
Aaina,(1993),149,"['Drama', ' Romance']",6.0,448.0,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
Aaina,(1977),150,['Drama'],6.8,94.0,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
Aaina,(1944),135,"['Drama', ' Romance']",3.2,5.0,S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope
Aaj,(1987),116,['Drama'],5.5,281.0,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
Aaj Aur Kal,(1947),135,"['Comedy', ' Sci-Fi']",4.1,8.0,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
Aaj Aur Kal,(1963),144,"['Drama', ' Romance']",5.6,52.0,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
Aaj Ka Andha Kanoon,(2003),46,['Action'],3.1,15.0,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
Aaj Ka Arjun,(1990),164,"['Action', ' Crime', ' Drama']",4.7,586.0,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
Aaj Ka Daur,(1985),153,"['Action', ' Drama']",5.1,40.0,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
Aaj Ka Gang Leader,(1993),135,['Action'],5.6,29.0,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha
Aaj Ka Goonda Raaj,(1992),147,"['Action', ' Thriller']",5.3,144.0,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
Aaj Ka Gunda,(2001),135,"['Action', ' Thriller']",4.7,23.0,Kanti Shah,Dharmendra,Mohan Joshi,Shakti Kapoor
Aaj Ka Gunda Raaj,(2006),135,['Action'],6.0,46.0,Mahesh Anand,Tanikella Bharani,Gulshan Grover,Milind Gunaji
Aaj Ka Laawaris,(2006),135,['Action'],5.7,17.0,Arjun Sarja,Jagapathi Babu,Gajala,Vija Kumar
Aaj Ka Mahaatma,(1976),170,"['Action', ' Romance']",3.5,23.0,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
Aaj Ka Nanha Farishta,(2000),135,"['Action', ' Crime', ' Thriller']",5.8,8.0,Pratap Barot,Ishrat Ali,Vikas Anand,Raj Babbar
Aaj Ka Ravan,(2000),128,"['Action', ' Crime']",4.3,31.0,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Aaj Ka Samson,(1991),123,"['Action', ' Romance']",3.1,14.0,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
Aaj Ka Ye Ghar,(1976),135,['Drama'],4.5,10.0,Surendra Shailaj,Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma
Aaj Kaa M.L.A. Ram Avtar,(1984),157,"['Action', ' Drama']",5.8,65.0,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
Aaj Ke Angaarey,(1988),128,"['Action', ' Drama']",5.0,26.0,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Aaj Ke Shahenshah,(1990),132,['Action'],3.3,15.0,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
Aaj Ke Sholey,(1985),135,['Adventure'],5.3,37.0,S.V. Rajendra Singh Babu,Jayanthi,Manjula,Amrish Puri
Aaj Ki Awaz,(1984),137,"['Action', ' Drama', ' Crime']",5.6,79.0,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
Aaj Ki Taaza Khabar,(1973),135,['Comedy'],7.3,88.0,Rajendra Bhatia,Radha Saluja,Kiran Kumar,I.S. Johar
Aaj Kie Aurat,(1993),135,"['Action', ' Drama']",3.8,14.0,Avtar Bhogal,Jeetendra,Dimple Kapadia,Sujata Mehta
Aaja Meri Jaan,(1993),162,['Romance'],4.4,30.0,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
Aaja Sanam,(1968),121,"['Drama', ' Romance']",6.7,14.0,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
Aaja Sanam,(1994),135,"['Drama', ' Romance']",3.3,7.0,Mohnish Bahl,Chandni,Kulbhushan Kharbanda,Ranbir Pushp
Aakhir Kaun Thi Woh?,(2000),135,"['Action', ' Mystery', ' Thriller']",4.4,5.0,Bapu,Raj Babbar,Raza Murad,Sripradha
Aakhir Kyon?,(1985),135,['Drama'],6.6,158.0,J. Om Prakash,Rajesh Khanna,Smita Patil,Rakesh Roshan
Aakhri Adaalat,(1988),148,"['Action', ' Thriller']",5.2,78.0,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
Aakhri Baazi,(1989),149,"['Action', ' Drama', ' Family']",4.1,53.0,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
Aakhri Badla,(1989),120,"['Action', ' Crime', ' Drama']",5.0,21.0,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
Aakhri Cheekh,(1991),135,['Horror'],4.8,47.0,Kiran Ramsay,Vijayendra Ghatge,Javed Khan,Sripradha
Aakhri Daao,(1975),135,"['Action', ' Crime', ' Drama']",5.5,29.0,A. Salaam,Jeetendra,Saira Banu,Padma Khanna
Aakhri Daku,(1978),135,['Action'],5.6,21.0,Prakash Mehra,Randhir Kapoor,Vinod Khanna,Rekha
Aakhri Dao,(1958),135,['Comedy'],6.4,16.0,Mahesh Kaul,Nutan,Shekhar,Jeevan
Aakhri Ghulam,(1989),171,"['Action', ' Crime', ' Drama']",4.9,34.0,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher
Aakhri Goli,(1977),135,['Action'],4.8,18.0,Shibu Mitra,Sunil Dutt,Leena Chandavarkar,Farida Jalal
Aakhri Insaaf,(1980),135,"['Action', ' Mystery']",4.9,10.0,Kalidas,Mithun Chakraborty,Vijayendra Ghatge,Ashok Kumar
Aakhri Inteqam,(2002),135,['Action'],2.5,16.0,Rajesh Bakshi,Sudesh Berry,Anu Kashyap,Amit Pachori
Aakhri Kasam,(1979),126,"['Action', ' Thriller']",6.3,7.0,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali
Aakhri Khat,(1966),153,['Drama'],6.9,122.0,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty
Aakhri Sangam,(1990),160,"['Action', ' Romance']",7.3,39.0,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian
Aakhri Sanghursh,(1997),138,['Action'],2.8,17.0,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna
Aakraman,(1975),139,"['Drama', ' History', ' Romance']",6.3,44.0,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan
Aakrosh,(1980),144,"['Crime', ' Drama', ' Music']",7.9,887.0,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri
Aakrosh: Cyclone of Anger,(1998),135,"['Action', ' Crime', ' Drama']",4.6,93.0,Lateef Binny,Sunil Shetty,Shilpa Shetty Kundra,Girish Karnad
Aalaap,(2012),116,['Sci-Fi'],5.4,26.0,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
Aalwar,(2007),152,['Action'],3.0,922.0,Chella,Ajith Kumar,Asin Thottumkal,Vivek
Aamaar Bhuvan,(2018),107,"['Drama', ' Family']",7.7,72.0,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen
Aamne - Saamne,(1967),163,"['Crime', ' Mystery', ' Romance']",6.5,81.0,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra
Aamne Samne,(1982),143,"['Action', ' Crime', ' Drama']",6.4,53.0,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta
Aamras: The Sweet Taste of Friendship,(2009),135,['Drama'],5.8,60.0,Rupali Guha,Vega Tamotia,Ntasha Bhardwaj,Maanvi Gagroo
Aan Aur Shaan,(1984),130,['Drama'],6.4,37.0,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
Aan Baan,(1972),135,['Drama'],6.1,28.0,Prakash Mehra,Rajendra Kumar,Rakhee Gulzar,Kumkum
Aan Baan,(1956),135,['Romance'],2.8,5.0,D.D. Kashyap,Ajit,Nalini Jaywant,Mahipal
Aan Milo Sajna,(1970),177,"['Drama', ' Musical', ' Romance']",6.4,211.0,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna
Aanch,(2003),160,['Drama'],5.6,102.0,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
Aanchal,(1980),138,"['Action', ' Drama', ' Family']",6.4,58.0,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha
Aanchal,(1960),135,"['Drama', ' Family']",4.9,8.0,Vasant Joglekar,Ashok Kumar,Nirupa Roy,Nanda
